id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,host_is_superhost,price,occupancy_rate,review_scores_rating,availability_365,has_price
1438987348661108488,Pankow,Prenzlauer Berg Südwest,52.53235,13.41665,Entire home/apt,No,238.0,20.8,4.83,330,True
1439032927487883886,Reinickendorf,West 1,52.57616,13.27666,Private room,No,49.0,24.1,4.57,84,True
1439189384079371035,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48027,13.32414,Private room,No,82.0,34.5,4.8,48,True
1439206328000794714,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51212,13.47093,Entire home/apt,Yes,119.0,44.9,4.77,249,True
1439313177303272715,Pankow,Schönholz/Wilhelmsruh/Rosenthal,52.5696,13.39854,Entire home/apt,No,,3.6,5.0,0,False
1439849229115107528,Neukölln,Reuterstraße,52.48954,13.43728,Private room,Yes,,10.4,5.0,0,False
1439884775943779170,Neukölln,Gropiusstadt,52.42106,13.46144,Private room,No,37.0,13.7,4.0,348,True
1439903555265677792,Pankow,Pankow Süd,52.55523,13.41662,Entire home/apt,No,61.0,51.8,4.6,346,True
1439934728389701905,Reinickendorf,Ost 1,52.56571,13.37539,Entire home/apt,No,92.0,0.0,,365,True
1439973894077380561,Pankow,Weißensee,52.55448,13.44978,Entire home/apt,No,72.0,24.1,4.14,326,True
1440367502672584209,Lichtenberg,Friedrichsfelde Nord,52.51122,13.50204,Entire home/apt,No,115.0,10.4,4.67,123,True
1440368115263917137,Mitte,Moabit Ost,52.52707,13.37043,Private room,No,,31.0,4.67,78,False
1440368404830960024,Mitte,Moabit Ost,52.52707,13.37043,Private room,No,,69.9,4.79,112,False
1440368707302894669,Mitte,Moabit Ost,52.5270652,13.3704254,Private room,No,,10.4,4.33,97,False
1440369276809798968,Mitte,Moabit Ost,52.5270652,13.3704254,Private room,No,,0.0,,112,False
1440474648216327483,Mitte,Alexanderplatz,52.52615,13.39103,Shared room,No,34.0,0.0,,324,True
1440485527332469106,Mitte,Alexanderplatz,52.52614,13.39178,Private room,No,282.0,0.0,,307,True
1440487175664659781,Mitte,Alexanderplatz,52.52476,13.39252,Shared room,No,38.0,62.2,4.72,290,True
1440497691810835729,Mitte,Alexanderplatz,52.52631,13.39098,Private room,No,224.0,0.0,,283,True
1440499182534456352,Mitte,Alexanderplatz,52.52409,13.39208,Shared room,No,40.0,3.6,4.0,311,True
1440500881537618773,Mitte,Alexanderplatz,52.5261,13.39083,Private room,No,236.0,0.0,,287,True
1440502476826786100,Mitte,Alexanderplatz,52.52625,13.39166,Private room,No,176.0,0.0,,312,True
1440504645720154477,Mitte,Alexanderplatz,52.52563,13.39242,Shared room,No,56.0,27.7,4.0,360,True
1440562249422938184,Treptow - Köpenick,Baumschulenweg,52.4486902685693,13.479475445422072,Private room,No,85.0,0.0,,364,True
1440571218160062269,Treptow - Köpenick,Baumschulenweg,52.4488,13.47923,Entire home/apt,No,160.0,0.0,,364,True
1440579484429050397,Charlottenburg-Wilm.,Westend,52.51314,13.26458,Entire home/apt,No,,0.0,,46,False
1441093742139182725,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50053,13.4635,Entire home/apt,No,111.0,6.8,5.0,341,True
1441102485555451462,Pankow,Helmholtzplatz,52.54291266962513,13.42136519311522,Entire home/apt,No,91.0,0.0,,364,True
1441166881724438663,Reinickendorf,West 5,52.5884557966952,13.288253210484982,Entire home/apt,Yes,91.0,0.0,,365,True
1441204402972029747,Mitte,Alexanderplatz,52.52436,13.39258,Shared room,No,44.0,10.4,3.67,351,True
1441212469143685825,Mitte,Moabit Ost,52.53518,13.3654,Entire home/apt,No,211.0,62.2,4.67,308,True
1441220271831608464,Mitte,Alexanderplatz,52.52633,13.3925,Shared room,No,30.0,6.8,5.0,324,True
1441222933237203865,Charlottenburg-Wilm.,Kantstraße,52.50719519772238,13.315570817860396,Private room,No,63.0,17.3,5.0,57,True
1441227611761269880,Mitte,Alexanderplatz,52.52399,13.39175,Shared room,No,32.0,0.0,,311,True
1441235509577676316,Mitte,Alexanderplatz,52.52423,13.3916,Private room,No,254.0,3.6,5.0,307,True
1441241219413660444,Mitte,Alexanderplatz,52.52476,13.3905,Shared room,No,34.0,0.0,,290,True
1441246177782504370,Mitte,Alexanderplatz,52.52634,13.39209,Private room,No,201.0,10.4,4.33,283,True
1441248933383261577,Pankow,Prenzlauer Berg Südwest,52.53619,13.40824,Entire home/apt,No,401.0,24.1,4.71,303,True
1441250938457484386,Mitte,Alexanderplatz,52.526,13.39166,Shared room,No,36.0,24.1,4.43,311,True
1441255586027249955,Mitte,Alexanderplatz,52.52472,13.39241,Private room,No,212.0,0.0,,287,True
1441261673248458773,Mitte,Alexanderplatz,52.52621,13.3906,Shared room,No,39.0,34.5,4.3,351,True
1441277944831047157,Mitte,Alexanderplatz,52.52424,13.39022,Private room,No,155.0,20.8,4.83,344,True
1441284292210683640,Mitte,Alexanderplatz,52.52409,13.39103,Private room,No,159.0,6.8,3.5,312,True
1441290412653108181,Mitte,Alexanderplatz,52.5245,13.3906,Shared room,No,51.0,24.1,4.0,360,True
1441295901463690096,Mitte,Alexanderplatz,52.52634,13.39211,Private room,No,172.0,0.0,,317,True
1441305244435894569,Mitte,Alexanderplatz,52.52461,13.39066,Private room,No,172.0,3.6,5.0,305,True
1441309893835629592,Mitte,Alexanderplatz,52.52429,13.39204,Private room,No,430.0,0.0,,327,True
1441314684510211864,Mitte,Alexanderplatz,52.52419,13.39177,Private room,No,585.0,0.0,,0,True
1441320082131154068,Mitte,Alexanderplatz,52.52622,13.39099,Private room,No,,0.0,,0,False
1441330599428000366,Marzahn - Hellersdorf,Biesdorf,52.47682,13.56094,Entire home/apt,No,53.0,20.8,5.0,286,True
